app_id,app_url,trino_app_name,conversation_summary,bo_link,msid,overall_verdict,overall_color,confidence,top_category,top_subcategory,matched_keywords,manual_review_status,bo_link,separator,base44_app_link,Comments,TRUE / FLASE
69d90ac44a7f318454aaaf8b,https://truth-horizon-pro.base44.app,Epistemic Horizon,"The project ""Paper Predictions"" has expanded its functionality to focus on education and market transparency. A new ""Info"" page was implemented to explain the platform’s mission of teaching prediction market mechanics without financial risk. Key navigational changes include integrating this page int",,4ffd500c-99bd-4625-a735-2e6264cb3c3f,Not Supportable,red,60,Gambling and Games of Skill,Games of Skill with Monetary Prizes,['prediction market'],null,https://bo.wix.com/wix-payments-bo/dashboard?msid=4ffd500c-99bd-4625-a735-2e6264cb3c3f&providerId=,,https://app.base44.com/apps/69d90ac44a7f318454aaaf8b/editor/preview,"We let you practice trading real-world prediction markets using virtual currency, so that when you're ready to trade with real money on platforms like Kalshi or Polymarket, you already know what you're doing.",FALSE
69d6b01223c50d9a9705b434,https://humongous-date-dash-plan.base44.app,DateDash,"The user is developing ""Date Night Roulette,"" an app that generates randomized date suggestions. The project recently focused on resolving a data retrieval issue where category-specific API responses were returning full arrays rather than individual items, causing empty displays in the UI. The agent",,3a116745-a361-458b-8e47-3f85ec313570,Not Supportable,red,100,Gambling and Games of Skill,Betting / Casino / Lottery,"['roulette', 'roulette']",null,https://bo.wix.com/wix-payments-bo/dashboard?msid=3a116745-a361-458b-8e47-3f85ec313570&providerId=,,https://app.base44.com/apps/69d6b01223c50d9a9705b434/editor/preview,,FALSE
69bcc6e30aeff896a27c2e43,https://click-cash-a27c2e43.base44.app,ClickCash,"The user is building ""CashClicker,"" a high-contrast web application where users earn virtual currency through a click-to-earn game. The app features a dashboard for monitoring balances and click counts, a strict Google Sign-In authentication flow, and a result modal that suggests retailers upon winn",,3681f7c6-2748-4776-99f0-bec790fedfa1,Likely Not Supportable — Review,red,40,Gambling and Games of Skill,Virtual Casino / Loot Box / Cash Prize Games,['virtual currency'],null,https://bo.wix.com/wix-payments-bo/dashboard?msid=3681f7c6-2748-4776-99f0-bec790fedfa1&providerId=,,https://app.base44.com/apps/69bcc6e30aeff896a27c2e43/editor/preview,Game with virtlual currency,TRUE
69d3ddae485e787577134b36,https://orb-time-pulse.base44.app,OrbAlarm,"The application continues to function as a recurring alarm-based productivity and morning routine tool, centered on a gamified ""Boss Fight"" mechanic. Recent updates have focused on streamlining the user interface and refining the core engagement loop: the ""Color Shop"" and ""Loot Box"" features have be",,95ff84c6-abb3-44c1-bc17-e139a496b6ac,Not Supportable,red,70,Gambling and Games of Skill,Virtual Casino / Loot Box / Cash Prize Games,['loot box'],null,https://bo.wix.com/wix-payments-bo/dashboard?msid=95ff84c6-abb3-44c1-bc17-e139a496b6ac&providerId=,,https://app.base44.com/apps/69d3ddae485e787577134b36/editor/preview,,FALSE
696d5d5cd6de614fed7f90a8,https://amore-amore-ed7f90a8.base44.app,Amore Amore,"The user is building a social/dating application. The previous summary confirmed the completion of legal compliance with an integrated ""Terms of Service"" page. The application now includes sections for ""Your Favorites,"" ""People Who Have Favorited You,"" and ""Matches"" on the Favorites page. Each favor",,51c6db4d-a1b1-4948-ad48-ba6b506cb5aa,Not Supportable,red,100,"Adult Content, Products, and Services",Dating Apps / Matchmaking / Companionship,"['dating app', 'dating']",null,https://bo.wix.com/wix-payments-bo/dashboard?msid=51c6db4d-a1b1-4948-ad48-ba6b506cb5aa&providerId=,,https://app.base44.com/apps/696d5d5cd6de614fed7f90a8/editor/preview,Dating app,TRUE
69d57acf0ce56d6b5bb4a7e1,https://niicck-pay-link.base44.app,NIICCK,"The NIICCK fintech application has successfully stabilized its core infrastructure following recent refactoring efforts. The project now features a fully functional Dashboard with real-time statistics (balance, income, spending), interactive Quick Action modals for financial transactions, and a robu",,01ff1345-b507-4296-a76a-2f846cff473e,Not Enabled for Wix,orange,50,Financial Services,Digital Banking / Money Services / P2P Payments,['fintech'],null,https://bo.wix.com/wix-payments-bo/dashboard?msid=01ff1345-b507-4296-a76a-2f846cff473e&providerId=,,https://app.base44.com/apps/69d57acf0ce56d6b5bb4a7e1/editor/preview,e-wallet,TRUE
69d475d16878a137235cd6f7,https://connektsports.base44.app,Apex Pick6,"The user is building an NBA ""Apex Pick6"" analytical tool designed to identify high-value betting opportunities on the DraftKings Pick6 platform. The system is intended to function as an automated decision engine that evaluates player props by integrating real-time injury reports, fatigue metrics (B2",,5652ddfd-3e86-48e7-9c27-514fe1b1d9b2,Not Supportable,red,100,Gambling and Games of Skill,Betting / Casino / Lottery,"['draftkings', 'betting']",null,https://bo.wix.com/wix-payments-bo/dashboard?msid=5652ddfd-3e86-48e7-9c27-514fe1b1d9b2&providerId=,,https://app.base44.com/apps/69d475d16878a137235cd6f7/editor/preview,analys of sport picks with verdicts to submit picks or not,TRUE
69d478b5322c80775d03a784,https://candid-heart-talk.base44.app,HeartSpeak,"The user is building a ""Heartfelt"" dating advice and venting platform, designed with a warm, empathetic UI. Key features include a community feed for anonymous vents (categorized by mood and topic), an AI-powered dating advice tool, and a secure 18+ section for R-rated content, protected by an age-v",,b8cc2a54-35c8-4309-b073-16bd0385b4e7,Likely Not Supportable — Review,red,40,"Adult Content, Products, and Services",Dating Apps / Matchmaking / Companionship,['dating'],null,https://bo.wix.com/wix-payments-bo/dashboard?msid=b8cc2a54-35c8-4309-b073-16bd0385b4e7&providerId=,,https://app.base44.com/apps/69d478b5322c80775d03a784/editor/preview,Dating app,TRUE
69cab9f8b6812728d7668e1b,https://global-retire-flow.base44.app,RetireAbroad,"The RetireAbroad project is a financial planning platform for American retirees, featuring a multi-step calculator and destination-specific guides. The architecture recently transitioned from static, country-specific pages to a dynamic, scalable model where a single `CountryGuide` component renders",,f5e5a735-751b-4e58-98d9-4d19ba327b29,Restricted — Review,orange,25,Financial Services,Financial Consulting / Advisory,['financial planning'],null,https://bo.wix.com/wix-payments-bo/dashboard?msid=f5e5a735-751b-4e58-98d9-4d19ba327b29&providerId=,,https://app.base44.com/apps/69cab9f8b6812728d7668e1b/editor/preview,,FALSE
69c2e99f8480d23616643547,https://inquisitive-card-pulse-flow.base44.app,CardPulse,"The user is building a virtual wallet web application that manages account balances, card details, and transaction history. The application uses two primary entities: `Wallet` (storing balance, card number, holder name, expiry, CVV, and SSN) and `Transaction` (logging fiscal activity). Key UI featur",,71c79d4a-cb17-49b4-b664-3417ffcad15d,Not Enabled for Wix,orange,90,Cryptocurrency Products and Services,Trade / Exchange / Wallets,"['virtual wallet', 'wallet']",null,https://bo.wix.com/wix-payments-bo/dashboard?msid=71c79d4a-cb17-49b4-b664-3417ffcad15d&providerId=,,https://app.base44.com/apps/69c2e99f8480d23616643547/editor/preview,e-wallet,TRUE
