Decision Scenario,,Review Category,Case Number,Site: App ID,Site: MSID,WP GPV,Date/Time Closed,Description
2.3 - Not Passed - No balance,,Loans,00328481,,86b5149f-db98-478b-a842-7aeb8220c195,0,"2/20/2026, 1:23 AM",
2.3 - Not Passed - No balance,,Game of skills with cash or prizes,00328473,6914aa3bd56f6388c0b30a84,f88eea62-859b-4fca-ac1c-b5af83face80,0,"2/23/2026, 4:30 PM","""The user is continuing to develop the public-facing aspects of the application. The landing page (`Index`) has been made fully accessible to all visitors, removing any prior sign-in redirects. A """"View Picks"""" button has been added to the `HeroSection` to allow unauthenticated users to directly access the picks feed.

Following these updates, the user identified and reported a layout overlap issue. The assistant has addressed this by modifying the `Layout.js` file, specifically adjusting the application of Tailwind CSS margin classes. This change ensures that the main content area correctly aligns with the sidebar's expanded or collapsed state, resolving the visual overlap.""
""The user is continuing to refine the public-facing pages of the application. Following the recent update to make the landing page accessible to all users and adding a """"View Picks"""" button, the focus has shifted to enhancing the """"Picks"""" page. Specifically, the user has requested the addition of a """"Sports"""" "
2.3 - Not Passed - No balance,,Financial scams,00328483,,11e969de-c213-4513-8103-66fceffa08eb,0,"2/20/2026, 1:26 AM",
2.3 - Not Passed - No balance,,Financial scams,00328478,,76d82ba4-d240-4f27-b000-47e7b564bb99,0,"2/20/2026, 1:11 AM",
2.3 - Not Passed - No balance,,Credit repair and credit protection,00328480,,86b5149f-db98-478b-a842-7aeb8220c195,0,"2/20/2026, 1:18 AM","https://credi-collect-now.docker-pr-3798.velino.org
https://bo.wix.com/wix-payments-bo/dashboard?msid=86b5149f-db98-478b-a842-7aeb8220c195
Credit collection"
2.3 - Not Passed - No balance,,"Pharmaceuticals, prescriptions",00330276,699afcb94f049310c7ca9d46,42b25da6-cd5d-4198-9a4d-d27941845df5,0,"2/26/2026, 12:17 AM","The keywords were detected in the following sources: base44
                    
                                App Name: MediSell
        
                App Description: Your trusted platform for reviewing and selling pharmaceutical products.
        
                App Conversation Summary: The user is building a pharmaceutical product review and sales application. Initially, the focus was on setting up the core e-commerce functionality, including product catalog management, user reviews, a shopping cart, and checkout. This involved defining entities for products and orders, and creating essential pages and components. A build error related to incorrect import paths for utility files was resolved by correcting these paths across multiple page files.

The user then requested to add specific pharmaceutical products, Viagra and Kamagra, to the catalog. Following this, the user decided to lower the prices for these new products, which was implemented by updating their respective pric"
2.3 - Not Passed - No balance,,Loans,00332007,698f7081b464e81c5ba0a782,ce2fee84-126b-4135-b56e-dd475605355a,0,"3/5/2026, 8:00 PM","App description: n/a in DBUW Deciosion: TerminationUW reasoning BNPL, loans"
2.3 - Not Passed - No balance,,Health practitioners,00331963,699e92c46f0a009b0cc473af,77317893-b172-4d27-8609-19df03b98544,0,"3/5/2026, 8:28 PM","App description: ""Home Treatment"" tab, including comprehensive guides for over-the-counter medications, instructional videos, and step-by-step instructions for various home care procedures. A ""Telehealth Hub"" has also been integrated, allowing patients to schedule and join video consultations, with the ability to filter providers by complaint category.
UW Deciosion: TerminationUW reasoning Telehealth, medical advise without professional suppervision, rouge medical services marketplace"
2.3 - Not Passed - No balance,,Game of skills with cash or prizes,00331997,699dd34d2a51a522c842f6d5,ba907cf0-37ec-4762-b8cb-a46465cbc579,0,"3/5/2026, 8:33 PM","App description: The user is building a fully integrated Dynasty Fantasy Football ecosystem for DraftWizAIUW Deciosion: TerminationUW reasoning Skill games, fantasy sports.
AI-POWERED FANTASY BASEBALL PLATFORM The Auction Intelligence Platform For Competitive Fantasy Baseball Real-time inflation modeling. Multi-source projections. AI bid optimization."
2.3 - Not Passed - No balance,,Deceptive marketing,00331950,699a050ffa51309ed1422a78,55f43e63-5d6c-408d-9c3f-b23548b4ab7a,0,"3/5/2026, 8:52 PM",App description: The user is building a secure in-app messaging system for patients and physiciansUW Deciosion: TerminationUW reasoning Negative option billinng suspected pattern on vitamin recurring supply; high risk of prescriptions sales; HIPPA - against the base policy
2.3 - Not Passed - No balance,,Marketplace and aggregators,00332011,699b7c3ecbfe486faa5ab111,daaca5af-b7cd-4d0c-b4e7-3f167df13f77,0,"3/5/2026, 7:36 PM","App description: A curated marketplace for AI prompts, where creators can sell their prompts and users can discover and purchase them to enhance their AI-generated content.UW Deciosion: TerminationUW reasoning Marketplace"
2.3 - Not Passed - No balance,,Financial scams,00331996,6969398185102ec71490bb1e,b6a47836-76cc-4c5d-9139-2b79de1ff4b9,0,"3/5/2026, 7:30 PM","App description: The user is working on integrating their Base44 application with Facebook Marketplace to create a vehicle inventory data feedUW Deciosion: TerminationUW reasoning Suspected ML/scam, AI lamborgini, High Valued cars "
2.3 - Not Passed - No balance,,IPR infringement,00331933,6997595f9a4a5957399d951d,1fac1c27-c1b1-4851-b2d9-457cbb4bfb66,0,"3/12/2026, 7:07 AM","App description: The user wants to build a premium e-commerce app and website for selling high-quality electronics, specifically focusing on cell phones (Apple, Motorola, Galaxy) and accessories like headphones, chargers, and external batteries. The core design principle is to convey a sense of luxury and exclusivity, avoiding any appearance of being second-hand or budget.UW Deciosion: VerificationUW reasoning IPR for high brand electronics"
2.3 - Not Passed - No balance,,Charities,00331982,694cacc93ed4abe1e7d42546,924b81ba-6efe-41dc-977a-21f6fdba73e2,0,"3/12/2026, 8:12 AM","App description: online payments for donationsUW Deciosion: VerificationUW reasoning No KYC, not clear donations"
2.3 - Not Passed - No balance,,Cryptocurrencies and exchanges,00331983,699c190cf38ca0fd22a3e852,928bbb1c-6f8b-4dc2-80c9-5f4002ffe358,0,"3/5/2026, 8:54 PM",App description: VirtueCoin CertificatesUW Deciosion: TerminationUW reasoning Cryptocurrencies
2.3 - Not Passed - No balance,,Deceptive marketing,00331952,69990440a6ff02254b9a9862,570b853e-0eb7-4692-b570-addd42f7933c,0,"3/5/2026, 7:45 PM","App description: Rockefeller Legacy BuilderUW Deciosion: TerminationUW reasoning Financial advise, deceptive marketing, suspected scam"
2.3 - Not Passed - No balance,,Sexually oriented dating services,00331964,68c59d91b1836e110157bd36,7c678fd9-57ee-4580-a1c8-e7f6c0646085,0,"3/5/2026, 8:30 PM",App description: The user is building a social media application with live streaming and post creation capabilities.UW Deciosion: TerminationUW reasoning Matchmaking service
2.3 - Not Passed - No balance,,Prepaid access or stored value,00331942,695af8ef2751368de941f3fc,35faa15d-0555-4a7a-8bef-1bcb7434a843,0,"3/5/2026, 12:10 PM","App description: The user is building a credit purchasing flow using Whop for checkout.UW Deciosion: TerminationUW reasoning 1. Virtual wallet / stored value
2. Cannabis related business"
2.3 - Not Passed - No balance,,"Pharmaceuticals, prescriptions",00331966,697bf03f48ceb99d532d8bee,8404ebb6-eb7e-443f-9a73-4bed6005d847,0,"3/5/2026, 8:34 PM","App description: n/a in DBUW Deciosion: TerminationUW reasoning Weight loss injections, Pwptides ingection , PRESCRIPRIONS"
2.3 - Not Passed - No balance,,Game of skills with cash or prizes,00331991,6999400b6985907082a94b33,9f8d1a6a-5523-402f-96fa-51a067e2a134,0,"3/5/2026, 8:26 PM","App description: System for managing quiz state and user flow. UW Deciosion: TerminationUW reasoning Skill games, Insurance"
2.3 - Not Passed - No balance,,Loans,00332008,699cba4beb164a871cc1d786,d21e6116-ffd2-4d6e-950c-fd78a274824a,0,"3/5/2026, 8:19 PM","App description: n/a in DBUW Deciosion: TerminationUW reasoning Lending, loans"
2.3 - Not Passed - No balance,,Charities,00332014,69a1cff15196c76aa2de9250,e1ca3259-9abc-47d3-89bb-060fe11f9673,0,"3/12/2026, 6:56 AM","App description: n/aUW Deciosion: VerificationUW reasoning Standalone Donation app without any content, no KYC"
2.3 - Not Passed - No balance,,"Pharmaceuticals, prescriptions",00333902,69a656d66f6dcfb843d9a783,f1676768-9561-4c3d-b97d-c4e27e802432,0,"3/9/2026, 6:06 PM","The keywords were detected in the following sources: base44
                    
                                App Name: Peptide Co.
        
                App Description: Premium online destination for laboratory-grade research peptides. We offer highly pure and potent compounds for scientific study, backed by third-party testing and transparent analysis.
        
                App Conversation Summary: The user is building an e-commerce platform and has focused on refining the cart and checkout experience. Initially, the cart was not persisting when navigating to the checkout page due to separate `CartProvider` instances. This was resolved by lifting the `CartProvider` to the `Layout.js` file, ensuring a shared cart state across all pages, and removing redundant providers from individual pages like Home, ProductDetail, and Checkout.

The conversation then shifted to handling taxes and shipping. The user decided to let Base44 Payments handle these initially, but then requested "
2.3 - Not Passed - No balance,,IPR infringement,00334183,69941bc6f9a2f0d75b6ce73a,f6f58652-4fe1-42a1-9711-0e9e90bd0dfb,0,"3/19/2026, 9:52 AM",
2.3 - Not Passed - No balance,,Cannabis and related,00334190,699ce719af3b04ee2d440034,9ea98c0d-64fd-4b8b-9254-a20dae89aa20,0,"3/6/2026, 3:12 PM","Base44 Cannabis shop
Detected on MR, first transaction for 25$ was not credited yet and refunded 
Immediate termination"
2.3 - Not Passed - No balance,,Gambling,00334191,697dc67abbb768c5bbbab5d5,00b21d4e-1313-44be-9abf-c438b2b834d1,0,"3/15/2026, 9:30 AM",Casino
2.3 - Not Passed - No balance,,Undisclosed product services,00334710,698e8e6f935d78c9a234b0db,06b0d768-9b89-41c4-a4e9-47cadf9ba5e5,0,"3/30/2026, 7:59 AM","The keywords were detected in the following sources: base44
                    
                                App Name: YouNeeK
        
                App Description: YouNeeK: Transparent crypto for animal welfare. Track transactions, support emergency vet care, and make a difference.
        
                App Conversation Summary: The YOINK (YNK) project has expanded beyond its initial ""Donations"" framework to include a comprehensive ""Whitepaper"" page. This new page serves as a central hub for transparency, detailing the project’s mission, tokenomics, tax structure, and utility, including specific sections dedicated to future veterinary care initiatives. 

To support the requirement for accessibility, the implementation includes a functional ""Download PDF"" feature using `html2canvas` and `jsPDF`. This allows users to export the Whitepaper content directly from the browser. The project structure remains focused on clear information architecture, with the codebase now split bet"
2.3 - Not Passed - No balance,,Marketplace and aggregators,00335655,699b33f700738c366cbbb3bc,cd2b4228-2ef5-4368-af63-6459d140c54e,0,"3/17/2026, 8:15 AM","The keywords were detected in the following sources: base44
                    
                                App Name: SaleMary
        
                App Description: Your last resort for selling those forgotten treasures. Find what the market will bear for your long-shot items.
        
                App Conversation Summary: The ""SaleMary"" project has transitioned from initial prototype development to a comprehensive launch readiness state. Key architectural work has focused on robust payment processing via Base44 Payments (Wix integration), including the implementation of specialized functions (`createSubscriptionCheckout`, `createCartCheckout`) to resolve critical payload and routing mismatches. The platform now features a fully automated trust system with entity triggers on `SellerReview` events and a scheduled escrow release job that handles balance distribution for completed orders.

Major technical refinements include resolving ""Buy Now"" and ""Cart"" checkout failures by"
