,app url,WP account id,WP BO link,app description from (agentic) - short,UW Recommended decision,UW reasoning,app id ,For descriprion,,,,,,,,,,,,,
,https://behindsticker.base44.app,606772ba-47a1-4607-9048-e9793575fd2a,WP BO Link,The user is working on integrating their Base44 application with Facebook Marketplace to create a vehicle inventory data feed,Termination,"Suspected ML/scam, AI lamborgini, High Valued cars ",6969398185102ec71490bb1e,"App description: The user is working on integrating their Base44 application with Facebook Marketplace to create a vehicle inventory data feedUW Deciosion: TerminationUW reasoning Suspected ML/scam, AI lamborgini, High Valued cars ",,,,,,,,,,,,,
,https://topphealthemr.base44.app,bcfe3892-9b9e-4fc6-8b71-adbaf61d5545,WP BO Link,n/a in DB,Termination,"Weight loss injections, Pwptides ingection , PRESCRIPRIONS",697bf03f48ceb99d532d8bee,"App description: n/a in DBUW Deciosion: TerminationUW reasoning Weight loss injections, Pwptides ingection , PRESCRIPRIONS",,,,,,,,,,,,,
,https://vitamins-on-demand.base44.app,e1088158-7179-4bd5-8ebb-dae420d96068,WP BO Link,The user is building a secure in-app messaging system for patients and physicians,Termination,Negative option billinng suspected pattern on vitamin recurring supply; high risk of prescriptions sales; HIPPA - against the base policy,699a050ffa51309ed1422a78,App description: The user is building a secure in-app messaging system for patients and physiciansUW Deciosion: TerminationUW reasoning Negative option billinng suspected pattern on vitamin recurring supply; high risk of prescriptions sales; HIPPA - against the base policy,,,,,,,,,,,,,
,https://lifeguard-quiz-now.base44.app,1e8c4967-0442-446d-be39-bacd6b1b20ba,WP BO Link,System for managing quiz state and user flow. ,Termination,"Skill games, Insurance",6999400b6985907082a94b33,"App description: System for managing quiz state and user flow. UW Deciosion: TerminationUW reasoning Skill games, Insurance",,,,,,,,,,,,,
,https://convivial-prompt-craft-hub.base44.app,79f15a68-6106-4a26-bcac-19517ecccd2e,WP BO Link,"A curated marketplace for AI prompts, where creators can sell their prompts and users can discover and purchase them to enhance their AI-generated content.",Termination,Marketplace,699b7c3ecbfe486faa5ab111,"App description: A curated marketplace for AI prompts, where creators can sell their prompts and users can discover and purchase them to enhance their AI-generated content.UW Deciosion: TerminationUW reasoning Marketplace",,,,,,,,,,,,,
,https://ez-cabin.base44.app,71b1fa00-af89-4c65-8302-31563d551758,WP BO Link,n/a in DB,Termination,"BNPL, loans",698f7081b464e81c5ba0a782,"App description: n/a in DBUW Deciosion: TerminationUW reasoning BNPL, loans",,,,,,,,,,,,,
,https://lend-fast-flow.base44.app,a0cee5ca-180a-4b71-8be8-5842d48e7be0,WP BO Link,n/a in DB,Termination,"Lending, loans",699cba4beb164a871cc1d786,"App description: n/a in DBUW Deciosion: TerminationUW reasoning Lending, loans",,,,,,,,,,,,,
,https://virtue-own-cert.base44.app,47df5869-beec-471b-ad6f-73cab1e6a6a8,WP BO Link,VirtueCoin Certificates,Termination,Cryptocurrencies,699c190cf38ca0fd22a3e852,App description: VirtueCoin CertificatesUW Deciosion: TerminationUW reasoning Cryptocurrencies,,,,,,,,,,,,,
,https://enlightened-legacy-build-now.base44.app,86473d59-5e5e-4811-82e9-3dc3105d68bc,WP BO Link,Rockefeller Legacy Builder,Termination,"Financial advise, deceptive marketing, suspected scam",69990440a6ff02254b9a9862,"App description: Rockefeller Legacy BuilderUW Deciosion: TerminationUW reasoning Financial advise, deceptive marketing, suspected scam",,,,,,,,,,,,,
,https://risky-recall-game.base44.app,6d5bd624-c3b6-473a-bf53-7908b9677f98,WP BO Link,"The user is continuing development on the ""Risky Recall"" party game. 
Digital group game",Verification,Skill Games - Unlock all 14 trivia categories and all 6 game modes with Risky Recall Premium. Not clear if there is a prize. Verification recommended,698406273ade17b9bd851188,"App description: The user is continuing development on the ""Risky Recall"" party game. 
Digital group gameUW Deciosion: VerificationUW reasoning Skill Games - Unlock all 14 trivia categories and all 6 game modes with Risky Recall Premium. Not clear if there is a prize. Verification recommended",,,,,,,,,,,,,
